Neighborhood,Art,Breakfast,Building,Buillding,Business Center,Caf�,Child Care,Education,Entertainment,Grocery,Health,Hotel,Library,Liquer,Market,Movie Theater,Nightlife,Park,Restaurant,Snacks
Brixton / Clapham / Stockwell / Battersea,0,3,0,0,0,6,0,1,0,7,0,3,0,1,10,0,7,3,11,0
Camden,0,2,0,0,0,2,0,5,0,1,4,3,4,2,7,5,1,1,9,0
Chelsea / Earl's Court / Fulham ,0,7,0,0,0,6,0,3,0,6,4,3,5,1,6,3,1,2,13,1
Chertsey,0,1,0,0,0,0,0,3,18,0,8,1,0,0,2,1,0,0,1,0
Chessington  / Cobham,0,0,0,1,0,0,0,1,15,0,0,0,1,0,1,1,0,0,2,0
Croydon / Norwood,0,3,0,0,0,2,0,12,0,1,3,2,1,0,7,0,0,1,2,0
Ealing / Wembley / Acton / Chiswick,0,7,0,0,0,1,0,15,1,5,1,1,2,0,7,7,1,5,8,1
Enfield / Upper Edmonton / Barnet,0,3,0,0,0,0,1,9,0,1,7,2,5,1,8,3,7,0,2,0
Greenwich / Poplar / Rotherhithe,0,2,0,0,0,2,0,7,1,3,5,1,2,2,9,3,4,2,13,0
Hammersmith,0,0,0,0,0,0,0,0,1,2,4,1,2,1,3,2,2,0,3,0
Hampstead / Kilburn / Belsize Park,0,4,0,0,0,4,0,4,0,4,1,3,8,0,9,3,5,4,7,3
Harrow,0,1,0,0,0,0,0,9,0,1,3,2,3,0,1,4,3,0,5,0
Holborn / Clerkenwell / Soho (SE),0,10,0,0,1,1,0,0,3,1,1,4,6,1,3,1,4,0,11,0
Holloway / Hornsey / Wood Green,0,4,0,0,0,5,0,6,0,7,2,3,3,1,13,5,6,3,12,1
Hoxton,0,4,0,0,0,2,0,1,1,7,0,2,5,1,9,1,3,1,18,0
Isleworth / Twickenham / Richmond,0,2,0,0,0,1,0,4,1,5,4,1,2,0,8,4,4,1,4,0
Kensington / Kennington,0,2,0,0,0,2,0,2,1,3,1,2,4,1,10,0,2,1,4,1
Kentish Town / Islington / Barnsburry,1,8,1,0,1,1,0,2,3,2,0,2,3,1,4,0,6,2,13,1
Kingston,0,1,0,0,0,0,0,4,0,0,3,3,1,0,3,1,0,1,3,1
Lambeth / Camberwell / Walworth / Peckham,0,1,0,0,0,1,0,3,1,0,3,0,3,1,9,1,1,4,5,0
Leytonstone / Olympic Park / Walthamstow / Ilford,0,2,0,0,0,3,0,5,0,3,6,4,3,3,9,6,5,2,11,0
Marylebone / Fitzrovia / Central London,0,3,0,0,0,2,0,0,3,2,4,2,4,1,3,1,8,0,16,1
Mayfair / Piccadilly,1,1,0,0,0,3,0,1,0,0,0,4,0,2,0,1,3,0,10,0
Paddington,0,3,0,0,0,1,0,2,0,1,4,3,0,2,1,0,1,3,6,0
Romford / Essex,0,1,0,0,0,1,0,2,0,0,4,0,2,0,1,2,3,0,3,0
Sheffield,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0
Sidcup / Bexleyheath / Bromley,0,1,0,0,0,0,0,6,0,1,1,1,2,0,2,3,0,0,1,0
Southwark / Lewisham,0,4,0,0,0,0,0,9,2,4,5,2,7,3,10,3,9,2,26,4
St Albans / London Colney,0,3,0,0,0,0,0,4,2,0,1,0,1,0,4,1,3,0,4,0
Surrey,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0
Sutton / Epsom / Banstead / Leatherhead,0,2,0,0,0,0,0,8,0,1,2,0,1,0,3,2,4,0,4,0
Tooting / Wandsworth / Wimbldon / Putney,0,3,0,0,0,1,0,12,0,6,6,0,2,3,8,5,3,2,6,0
Tower Hamlets / Hackney,0,7,0,0,0,5,0,3,1,9,5,3,2,1,8,6,6,4,19,1
Uxbridge / Hillingdon / Hayes,0,4,0,0,0,0,0,5,0,0,1,0,5,0,3,3,3,0,3,0
Westminster,0,7,0,0,0,0,0,2,1,1,0,4,0,1,5,2,7,2,12,0
