Neighborhood,Art,Breakfast,Building,Business Center,Caf�,Child Care,Church,Education,Entertainment,Grocery,Health,Hotel,Library,Liquer,Market,Movie Theater,Nightlife,Park,Restaurant,Snacks
Bayonne,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,1,0,0,0
Belleville,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0
Bloomfield,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0
Borough Park,0,0,0,0,0,0,0,3,0,0,2,1,0,1,0,0,1,0,2,1
Bronx Park and Fordham,0,0,0,0,0,0,0,3,0,1,1,0,2,0,4,0,0,0,1,0
Bronxville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Brooklyn,0,1,0,0,0,0,0,9,2,0,1,2,2,0,1,3,0,0,2,0
Bushwick and Williamsburg,0,0,1,0,0,0,0,7,0,1,1,3,1,0,2,4,2,1,6,2
Caldwell,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Canarsie and Flatlands,0,1,0,0,1,0,0,2,0,2,1,0,0,0,1,0,0,1,0,1
Central Bronx,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,0,1,0,0
Central Brooklyn,0,1,0,2,1,4,0,13,1,9,1,11,3,2,14,0,2,1,23,0
Central Harlem,0,1,0,0,5,0,0,4,0,4,0,4,5,0,1,1,0,1,6,0
Central Queens,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Chatham,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Chelsea and Clinton,3,1,1,2,10,0,4,9,4,62,9,26,3,10,5,27,6,3,30,14
Clark,0,0,0,0,0,0,0,2,1,4,0,0,0,0,1,0,1,0,0,0
Cliffside Park,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
Clifton,0,0,0,0,0,0,0,2,0,1,1,0,0,0,4,1,1,0,2,0
Closter,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,0,0,1,0,1
Cranford,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
East Hanover,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
East Harlem,0,0,0,0,0,0,0,3,0,0,6,1,1,0,0,0,0,0,1,0
East New York and New Lots,0,2,0,0,1,0,0,5,0,0,0,1,1,0,0,1,0,0,2,1
East Orange,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
East Rutherford,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,0
Edgewater,0,1,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0
Edison,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0
Elizabeth,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,2,1,0,1,0
Elmwood Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
