Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,id,location_address,location_crossStreet,location_postalCode,location_city,location_state,location_country,location_formattedAddress[0],categories_name,categories_pluralName,categories_shortName,cluster_label
Congress Avenue,,Liquer,Shiner's Saloon,30.2671263,-97.74332196,49b6d215f964a52013531fe3,422 Congress Ave Ste D,at 5th St,78701,Austin,TX,United States,422 Congress Ave Ste D (at 5th St),Bar,Bars,Bar,17
Congress Avenue,,Building,Texas State Capitol,30.27365926,-97.74081355,49bd2c3af964a52052541fe3,112 E 11th St,at Congress Ave,78701,Austin,TX,United States,112 E 11th St (at Congress Ave),Capitol Building,Capitol Buildings,Capitol Building,17
901 W Braker Ln,,Entertainment,Austin FC Stadium,30.38772964,-97.71942139,5d7669defbf1bf00083846f0,10414 McKalla Place,Braker Lane And Burnet Road,78758,Austin,TX,United States,10414 McKalla Place (Braker Lane And Burnet Road),Soccer Stadium,Soccer Stadiums,Soccer,25
Round Rock,,Entertainment,Kalahari Resort,30.51754951,-97.63729095,5d024ebbda2e00002cb91cab,501 S Kenney Fort Blvd,,78665,Round Rock,TX,United States,501 S Kenney Fort Blvd,Water Park,Water Parks,Water Park,32
East Riverside-Oltorf,,Building,Bishop Cidercade,30.252478,-97.741003,5f51a723cf74b37227ce7d02,600 E Riverside Dr,,78704,Austin,TX,United States,600 E Riverside Dr,Arcade,Arcades,Arcade,17
Round Rock,,Building,Tom Foolerys Adventure Park,30.521057,-97.63253,5fb9a9332846c6770fdc654a,,,78665,Round Rock,TX,United States,"Round Rock, TX 78665",Arcade,Arcades,Arcade,32
Manchaca,,Entertainment,Duke's Adventure Golf,30.15289304,-97.76794222,59bd7354a0215b132cdf4401,1716 E Slaughter Ln,,78747,Austin,TX,United States,1716 E Slaughter Ln,Mini Golf,Mini Golf Courses,Mini Golf,22
Cedar Park,,Entertainment,Cedar Rock Railroad,30.55656004,-97.76316269,4c264201db519521255d2c3a,Sam Bass Rd,FM 1431,78613,Cedar Park,TX,United States,Sam Bass Rd (FM 1431),General Entertainment,General Entertainment,Entertainment,15
Mueller,,Entertainment,Sekrit Theater,30.259544,-97.684454,575b6c9b498e3c8b2d2cee3a,1145 Perry Rd,,78721,Austin,TX,United States,1145 Perry Rd,Music Venue,Music Venues,Music Venue,14
Downtown,,Entertainment,Moody Theater,30.26538247,-97.74739236,55201374498e84ea41daa6f4,310 Willie Nelson Blvd,at Guadelupe St,78701,Austin,TX,United States,310 Willie Nelson Blvd (at Guadelupe St),Concert Hall,Concert Halls,Concert Hall,17
