Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_crossStreet,location_postalCode,id,location_city,location_state,categories_name,categories_pluralName,categories_shortName,location_neighborhood,cluster_label
Ealing / Wembley / Acton / Chiswick,Acton,Park,Regent's Park,51.53047946,-0.153765678,Chester Rd,,NW1 4NR,4b233922f964a520785424e3,London,Greater London,Park,Parks,Park,,0
Ealing / Wembley / Acton / Chiswick,Acton,Market,Morrisons,51.5077122,-0.272716544,King St,,W3 9LA,4b46f8d0f964a5201b2a26e3,London,Greater London,Supermarket,Supermarkets,Supermarket,Acton,12
Ealing / Wembley / Acton / Chiswick,Acton,Health,Eye Emergency Department,51.52114929,-0.16322408,153-173 Marylebone Rd,,NW1 5QH,4beec88bd355a593424f0b60,Paddington,Greater London,Emergency Room,Emergency Rooms,Emergency Room,,0
Ealing / Wembley / Acton / Chiswick,Acton,Movie Theater,Madame Tussauds 4D,51.52281662,-0.154881477,8-10 Marylebone Rd,,NW1 5LR,4f8c0e4fe4b0e5ed76ce5083,London,Greater London,Movie Theater,Movie Theaters,Movie Theater,,0
Ealing / Wembley / Acton / Chiswick,Acton,Education,ISL International School of London,51.49576396,-0.282546617,139 Gunnersbury Ave,,W3 8LG,521dad4511d261a743d31e53,London,Greater London,School,Schools,School,,12
Ealing / Wembley / Acton / Chiswick,Acton,Breakfast,McDonald's,51.5202809,-0.263412123,12 Leamington Park,,W3 6TJ,5956b9f295a72203b0259f75,Acton,Greater London,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,12
Chertsey,Ashford,Health,Ashford Hospital,51.44423441,-0.473064394,London Rd,Town Ln,TW15 3AA,4b54b8a8f964a520ecc827e3,Ashford,Surrey,Hospital,Hospitals,Hospital,,5
Chertsey,Ashford,Breakfast,McDonald's,51.44245883,-0.474785873,554 London Rd,,TW15 3AE,558c8b12498e47138bd9d975,Ashford,Surrey,Fast Food Restaurant,Fast Food Restaurants,Fast Food,,5
Sutton / Epsom / Banstead / Leatherhead,Ashtead,Education,West Ashtead School,51.30392324,-0.307909832,Taleworth Road,,KT21 2PX,56213477498e40b4719f3751,Ashtead,Surrey,Elementary School,Elementary Schools,Elementary School,,35
Sutton / Epsom / Banstead / Leatherhead,Ashtead,Market,Blue Marlin,51.316566,-0.30463222,9 Craddocks Parade,Craddocks Avenue,KT21 1QL,585eb1bb9398ab5940babcc1,Ashtead,Surrey,Fish & Chips Shop,Fish & Chips Shops,Fish & Chips,,35
Tooting / Wandsworth / Wimbldon / Putney,Balham,Grocery,M&S Simply Food,51.45206971,-0.14818228,2a Balham Hill,,SW12 9EA,4c0560d1517d0f47c174f415,London,Greater London,Grocery Store,Grocery Stores,Grocery Store,,23
Tooting / Wandsworth / Wimbldon / Putney,Balham,Library,Balham Library,51.44525352,-0.151691308,16 Ramsden Rd,,SW12 8QY,4c447fdbf799e21edce2ada2,Balham,Greater London,Library,Libraries,Library,,13
Hoxton,Bank of England,Restaurant,Burger & Lobster,51.51426052,-0.085524467,52 Threadneedle St,,EC2R 8AR,555b89bb498e14df5777d4bf,London,Greater London,Seafood Restaurant,Seafood Restaurants,Seafood,,10
Sutton / Epsom / Banstead / Leatherhead,Banstead,Restaurant,Siene Rigger,51.32805922,-0.214995893,11 Nork Way,,SM7 1PB,4c76cc1ca5676dcb87a31621,Banstead,Surrey,Seafood Restaurant,Seafood Restaurants,Seafood,,2
