Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,id,location_address,location_crossStreet,location_neighborhood,location_postalCode,location_city,location_state,location_country,categories_name,categories_pluralName,categories_shortName,cluster_label
Gramercy Park and Murray Hill,,Hotel,Eataly Flatiron,40.74198696,-73.98991319,4c5ef77bfff99c74eda954d3,200 5th Ave,at W 23rd St,NoMad,10010,New York,NY,United States,Gourmet Shop,Gourmet Shops,Gourmet,4
Gramercy Park and Murray Hill,,Hotel,Eataly Flatiron,40.74198696,-73.98991319,4c5ef77bfff99c74eda954d3,200 5th Ave,at W 23rd St,NoMad,10010,New York,NY,United States,Gourmet Shop,Gourmet Shops,Gourmet,4
Gramercy Park and Murray Hill,,Hotel,Eataly Flatiron,40.74198696,-73.98991319,4c5ef77bfff99c74eda954d3,200 5th Ave,at W 23rd St,NoMad,10010,New York,NY,United States,Gourmet Shop,Gourmet Shops,Gourmet,4
Gramercy Park and Murray Hill,,Hotel,Eataly Flatiron,40.74198696,-73.98991319,4c5ef77bfff99c74eda954d3,200 5th Ave,at W 23rd St,NoMad,10010,New York,NY,United States,Gourmet Shop,Gourmet Shops,Gourmet,4
Gramercy Park and Murray Hill,NoMad,Restaurant,Serra On The Roof,40.74205503,-73.98971983,5aebab20336273002c158f04,200 5th Ave,at W 23rd St,NoMad,10010,New York,NY,United States,Italian Restaurant,Italian Restaurants,Italian,4
Greenwich Village and Soho,,Caf�,WNYC Cafe,40.72644854,-74.00494663,4fa2c66ae4b0dc1d01359ad5,"160 Varick St, New York, NY 10013",,,10013,New York,NY,United States,Cafeteria,Cafeterias,Cafeteria,14
Hillside,,Snacks,Dunkin',40.69785457,-74.21754387,5b76dcc19fca56002de565df,1410 N Broad St,,,7205,Hillside,NJ,United States,Donut Shop,Donut Shops,Donuts,9
Queens,,Snacks,Pressed,40.75703639,-73.84622813,5707f56a498ee4f32cbf0eaa,,,,,Queens,NY,United States,Sandwich Place,Sandwich Places,Sandwiches,1
East New York and New Lots,City Line,Restaurant,Juicy King Crab Express,40.678333,-73.86848,60311ffa47a116112fc706d4,1102 Liberty Ave Apt A,Autumn Avenue,City Line,11208,Brooklyn,NY,United States,Seafood Restaurant,Seafood Restaurants,Seafood,19
Northwest Brooklyn,,Hotel,Fuku,40.682972,-73.97569,5c08721481635b002c0a5784,,,,11217,Brooklyn,NY,United States,Fried Chicken Joint,Fried Chicken Joints,Fried Chicken,21
