"Neighborhood","Venue Category","Venue","Neighborhood_Latitude","Neighborhood_Longitude","id","location.city","location.state","categories_name","categories_pluralName","location_crossStreet","location_formattedAddress","location_postalCode","location_address"
"Barakhamba Avenue, Connaught Place","Hotel","The Lalit Hotel",28.63111018,77.22744966,"4bb46ce087aa95219724add1","New Delhi","Delhi","Hotel","Hotels","null","Barakhamba Avenue, Connaught Place","India","Barakhamba Avenue, Connaught Place"
"Plot No. 360-362, Sector 29","Hotel","Country Inn & Suites By Carlson Gurgaon Sector 29",28.4620392,77.0676877,"4bb953173db7b713273d229a","New Delhi","Delhi","Hotel","Hotels","null","Plot No. 360-362, Sector 29",122001,"Plot No. 360-362, Sector 29"
"Aerocity","B & B","Hotel Pride Plaza",28.55287242,77.12291625,"565f3abd498e385c1e2bb314","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Aerocity","null","Aerocity"
"New Delhi","B & B","Pacific Inn Eden Royal",28.46410639,77.04969737,"5597e725498e5df6654ca915","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","The krishna Inn",28.583587,77.249739,"526e7b82498e589ac69d11f0","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"A.K.Market","B & B","VV inn",28.64201927,77.21620941,"4fa7a5dce4b0a34ac9204307","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","1015, Gali Mantola Main Bazar, Pahar Ganj, New Delhi",110055,"1015, Gali Mantola Main Bazar, Pahar Ganj, New Delhi"
"Sector 92","Hotel","Kwi Bin Kwan Hotel",28.51811218,77.3978653,"50188fb4e4b0deb6b21a0ee1","New Delhi","Delhi","Hotel","Hotels","Sector 92","Zion/Sherwood Tower, O-maxe Forest (Sector 92)","null","Zion/Sherwood Tower, O-maxe Forest"
"Gurgaon","B & B","Airtel Guest House",28.44493135,77.05959726,"4d278de83c795481e0a6c59b","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Gurgaon","null","null"
"New Delhi","B & B","Bansal Bed And Breakfast",28.570067,77.265215,"4eaee2cc5c5ce6e506a38c63","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Delhi","null","null"
"DLF Phase 3","B & B","Casa D'or",28.49718676,77.10026766,"4f03ac50e30090dfdb27252e","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","DLF Phase 3","17, Moulsari Avenue, DLF Phase 3 (DLF Phase 3)","null","17, Moulsari Avenue, DLF Phase 3"
"New Delhi","B & B","Ganga International House",28.63421016,77.16193824,"4e6eda7752b1706317970fc6","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","New Delhi","null","null"
"near Electric Sub Station, C-Block, Sector-44","B & B","Hotel Green View Residency",28.55421221,77.33627588,"508aaf09e4b02ba9b0ef52a0","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","near Electric Sub Station, C-Block, Sector-44","null","near Electric Sub Station, C-Block, Sector-44"
"Sector 27","B & B","Siesta Hotel",28.57476588,77.3324621,"52861aab11d2b716ed4ea0d9","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Sector 27","Ashok Marg, A-1 (Sector 27)","null","Ashok Marg, A-1"
"New Delhi","B & B","Hotel Karina",28.54161889,77.29285316,"50c715e8e4b0d67752124897","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"Defence Colony","B & B","Stallen Hospitality",28.57659146,77.26073433,"4fc49781e4b035d6cb172744","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Defence Colony","A 153 (Defence Colony)","null","A 153"
"Paschim Marg, DLF City Phase 1","B & B","Seven Seas",28.46970146,77.09549651,"4ed08b1af5b9832ada6364a9","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Paschim Marg, DLF City Phase 1","B/18/12 (Paschim Marg, DLF City Phase 1)","null","B/18/12"
"New Delhi","B & B","BnB dwaraka",28.5932654,77.0401531,"4f6d8645e4b060033268512f","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"Ignou Road","B & B","Slumber Bed and Breakfast",28.51727348,77.20571806,"516bf238e4b0ea0f63ec7380","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Ignou Road","Anupum Enclave (Ignou Road)","null","Anupum Enclave"
"Karol Bagh","B & B","Ramanujams",28.65194381,77.18937833,"521aa84611d2fceee561ac50","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Karol Bagh","null","Karol Bagh"
"New Delhi","B & B","Crown plaza",28.71919415,77.20884537,"5176dea6e4b0ae385afa3414","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Sun Villa Gurgaon",28.484546,77.084928,"57194060498e61b0fd63b5ec","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
