"Neighborhood","Venue Category","Venue","location_address","Neighborhood_Latitude","Neighborhood_Longitude","id","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName","location_crossStreet","location_neighborhood",,,,,,,,
"Kurla","Movie Theater","PVR Cinemas","Phoenix Market City",19.08664273,72.88983943,"50950f23e4b0578aae7a7a00",400001,"Mumbai","Maharashtra","India","Phoenix Market City (Kurla)","Movie Theater","Movie Theaters","Movie Theater","Kurla","Kurla",,,,,,,,
"Link Road, Malad West","Cineplex","Inox Cinemas","Inorbit Mall",19.17309943,72.83573231,"4b8aac88f964a520017932e3",400064,"Mumbai","Maharashtra","India","Inorbit Mall (Link Road, Malad West)","Multiplex","Multiplexes","Cineplex","Link Road, Malad West","Link Road, Malad West",,,,,,,,
"Lower Parel","Cineplex","PVR Cinemas Kotak IMAX","Phoenix Mills",18.99505902,72.82367378,"4b42ebdcf964a520efda25e3",400013,"Mumbai","Maharashtra","India","Phoenix Mills (Lower Parel)","Multiplex","Multiplexes","Cineplex","Lower Parel","Lower Parel",,,,,,,,
"Kandivali East","Mall","Growel's 101","Akurli Road, Western Express Highway,",19.20295213,72.86045295,"4c08ee76cd09d13ac1fbd209",400101,"Mumbai","Maharashtra","India","Akurli Road, Western Express Highway, (Kandivali East)","Shopping Mall","Shopping Malls","Mall","Kandivali East","Kandivali East",,,,,,,,
,"Indie Movies","Le R�ve (Globus Cinema)","null",19.05601429,72.83395148,"580db3c938fa83fae8815919","null","Mumbai","Maharashtra","India","India","Indie Movie Theater","Indie Movie Theaters","Indie Movies","null",,,,,,,,,
"Dombivli East","Cineplex","PVR Lodha Xperia Mall","3rd floor, Lodha Xperia Mall",19.164717,73.074833,"584d58cdfebfbd728e7fa86d",421204,"Mumbai","Maharashtra","India","3rd floor, Lodha Xperia Mall (Kalyan Shil Road Palava City)","Multiplex","Multiplexes","Cineplex","Kalyan Shil Road Palava City","Dombivli East",,,,,,,,
"Opp Cowasji Jehangir Hall","Cineplex","Metro Big Cinemas","Anandilal Podar Marg, Marine Lines",18.94330415,72.82889749,"4b10fe04f964a520417723e3","null","Mumbai","Maharashtra","India","Anandilal Podar Marg, Marine Lines (Opp Cowasji Jehangir Hall)","Multiplex","Multiplexes","Cineplex","Opp Cowasji Jehangir Hall","Opp Cowasji Jehangir Hall",,,,,,,,
"Colaba","Indie Movies","Regal Cinema","Colaba",18.92480893,72.83230521,"4c0a7db2bbc676b0cbe149d5","null","Mumbai","Maharashtra","India","Colaba","Indie Movie Theater","Indie Movie Theaters","Indie Movies","null","Colaba",,,,,,,,
"Andheri West","Movie Theater","PVR ICON","Infiniti mall",19.14153056,72.83033053,"5659dc6f498e5e36e1ad5f6f","null","Mumbai","Maharashtra","India","Infiniti mall (Andheri West)","Movie Theater","Movie Theaters","Movie Theater","Andheri West","Andheri West",,,,,,,,
"LBS Marg Ghatkopar","Cineplex","Inox","R City Mall",19.09960548,72.91617311,"5653381f498e767f964c04c0",400086,"Mumbai","Maharashtra","India","R City Mall (LBS Marg Ghatkopar)","Multiplex","Multiplexes","Cineplex","LBS Marg Ghatkopar","LBS Marg Ghatkopar",,,,,,,,
"Antop Hill, Wadala","Cineplex","IMAX Big Cinemas","Anik Wadala Link Road",19.03151841,72.88070131,"4b0587dcf964a5207ea422e3",400037,"Mumbai","Maharashtra","India","Anik Wadala Link Road (Antop Hill, Wadala)","Multiplex","Multiplexes","Cineplex","Antop Hill, Wadala","Antop Hill, Wadala",,,,,,,,
"Koperkhairne","Cineplex","Balaji Moviplex","Near koperkhairne railway station",19.10102835,73.01033203,"51f51996498ebd046ca828d2",400709,"Mumbai","Maharashtra","India","Near koperkhairne railway station","Multiplex","Multiplexes","Cineplex","null","Koperkhairne",,,,,,,,
